iteration,rewards,learning rate,policy_loss,value_loss,entropy_loss
1,-37144.1,0.0003,0.00124399,429120,2.77248
2,-36557.3,0.000297,-0.00286176,413600,2.77238
3,-37481.6,0.000294,0.000479762,462582,2.77209
4,-35454.9,0.000291,-0.000161598,390980,2.77202
5,-37199.2,0.000288,-0.00180754,489200,2.76843
6,-37061.4,0.000285,0.0139908,489256,2.75694
7,-36208.8,0.000282,-0.00847916,433193,2.75156
8,-36379.2,0.000279,-0.016552,487490,2.72592
9,-36386.7,0.000276,-0.0250962,433696,2.69411
10,-36429.7,0.000273,-0.0248416,427771,2.67339
11,-35262.8,0.00027,0.0103779,416041,2.60139
12,-35538.7,0.000267,-0.0133584,395392,2.5355
13,-37323.1,0.000264,-0.00531611,478148,2.50022
14,-35087.1,0.000261,-0.0405293,409430,2.37516
15,-35957.6,0.000258,0.0090373,481742,2.23552
16,-34958.4,0.000255,-0.00496053,458102,2.22771
17,-33508.8,0.000252,-0.0133796,421034,2.14105
18,-33376.5,0.000249,-0.0169962,308067,2.35142
19,-33990.8,0.000246,-0.0430139,349026,2.14368
20,-33464.5,0.000243,0.000942067,394243,2.23028
21,-32249.4,0.00024,0.00304289,358704,2.23535
22,-32172.1,0.000237,0.027601,310695,2.05629
23,-30883.8,0.000234,0.00308631,305076,2.12819
24,-29966.9,0.000231,-0.0519869,232389,2.04662
25,-31911.7,0.000228,0.0272706,305079,2.16957
26,-30070.2,0.000225,-0.024847,309623,2.25558
27,-28605.8,0.000222,-0.0189139,237138,1.97911
28,-28364.7,0.000219,-0.00102714,241037,1.95798
29,-27898.6,0.000216,-0.00279667,232377,1.8439
30,-27783.3,0.000213,-0.0215004,256867,1.93861
31,-26848.8,0.00021,-0.00680414,265632,1.97858
32,-24762,0.000207,0.0133009,147743,1.85668
33,-23734.3,0.000204,-0.0537566,157978,1.79064
34,-25191.9,0.000201,-0.0142118,197840,1.46229
35,-22275.8,0.000198,-0.0224763,148243,1.55531
36,-22039.5,0.000195,-0.0148732,151020,1.56721
37,-21573.4,0.000192,-0.0586901,138736,1.40003
38,-20383.8,0.000189,-0.00972864,106629,1.35485
39,-20394.1,0.000186,0.0413525,108118,1.47225
40,-19791.4,0.000183,-0.0209481,109737,1.42758
41,-20397.5,0.00018,0.0228159,118400,1.35686
42,-18858.2,0.000177,0.00272591,98289.2,1.34112
43,-18055.3,0.000174,-0.0297238,93561.6,1.1759
44,-20220.2,0.000171,-0.0108685,111962,1.34047
45,-18611.2,0.000168,-0.0135458,86843.3,0.942737
46,-18648.4,0.000165,-0.0158787,87912.7,1.15946
47,-18513,0.000162,-0.021919,81855.9,1.11731
48,-18401.6,0.000159,0.0419311,94622.5,1.11011
49,-18722.7,0.000156,-0.0291038,88958.8,1.13506
50,-17542.7,0.000153,0.0135595,62354.9,0.875168
51,-18504.3,0.00015,-0.0246998,72371,0.946761
52,-18349.4,0.000147,0.00218658,67266.4,0.877769
53,-17452.5,0.000144,-0.00295103,68685.8,1.01872
54,-18265.5,0.000141,-0.00893284,88686.3,1.02877
55,-17029.3,0.000138,-0.00537311,98887.4,0.649718
56,-16215.4,0.000135,0.0354487,70183.3,1.05012
57,-16096.4,0.000132,-0.0215216,59358.9,0.724863
58,-15483,0.000129,0.00149816,44796.5,0.602749
59,-15863,0.000126,0.0388719,47505.2,0.91197
60,-16227.8,0.000123,-0.0211969,49984.4,0.591265
61,-17159.6,0.00012,0.00758208,79401.2,0.784267
62,-17091.2,0.000117,-0.0273945,57645.4,0.802762
63,-17060,0.000114,-0.0256608,64346.8,0.824043
64,-17561.6,0.000111,-0.00456945,75430.6,0.505445
65,-15339.7,0.000108,-0.00888698,50441.5,0.586867
66,-15895.7,0.000105,-0.00263047,53742.4,0.556758
67,-16079,0.000102,-0.0214282,45854.2,0.750809
68,-14884.3,9.9e-05,9.45415e-05,52549.6,0.71983
69,-16400,9.6e-05,-0.00725012,54531.4,0.54118
70,-15801.8,9.3e-05,-0.0287693,56542.5,0.625026
